                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8717,                 6.0425,                 4.2306,                      0,                      0,                      0,                      0,                 4.6808,                  6.526,                 4.2325,             0.00036416,             0.00036416,             0.00036416
                      2,                 2.7798,                 4.4458,                 3.1632,                  1e-05,                0.00323,                0.00301,                 0.0018,                 3.8257,                 6.1952,                 3.7924,             0.00072722,             0.00072722,             0.00072722
                      3,                 2.3897,                 3.5796,                 2.5673,                0.30399,                0.19594,                0.16826,                0.05514,                 2.0976,                 3.7007,                 2.6814,               0.001083,               0.001083,               0.001083
                      4,                 2.1237,                 2.9734,                 2.3826,                0.84141,                0.22104,                0.29482,                0.09774,                 2.0867,                 3.2384,                 2.5253,               0.001078,               0.001078,               0.001078
                      5,                  1.831,                 2.3585,                 2.1433,                0.55134,                0.35485,                0.37447,                0.19567,                 1.6216,                 2.8365,                 2.2877,               0.001078,               0.001078,               0.001078
                      6,                 1.6652,                 2.0883,                 2.0195,                0.50568,                 0.5249,                0.57134,                0.30408,                  1.503,                 2.0738,                 2.0986,               0.001067,               0.001067,               0.001067
                      7,                 1.4939,                 1.7981,                 1.8732,                0.65379,                 0.5582,                 0.5979,                0.38193,                 1.2457,                 2.0628,                 1.9566,               0.001056,               0.001056,               0.001056
                      8,                  1.394,                 1.6289,                   1.76,                0.78401,                0.64311,                0.67112,                0.45219,                 1.2166,                 1.7048,                 1.8418,               0.001045,               0.001045,               0.001045
                      9,                  1.367,                  1.519,                 1.6959,                0.68125,                0.65325,                0.65106,                0.44266,                 1.1712,                 1.5983,                 1.7963,               0.001034,               0.001034,               0.001034
                     10,                 1.2765,                 1.3825,                  1.612,                0.57989,                0.64657,                0.66325,                0.45813,                 1.1472,                  1.523,                  1.687,               0.001023,               0.001023,               0.001023
                     11,                 1.2616,                 1.3611,                 1.5922,                0.60583,                0.62623,                0.64407,                0.46162,                 1.0492,                 1.9417,                 1.6403,               0.001012,               0.001012,               0.001012
